timestamp,m1,m2,m3,m4,m5,m10,m11,m12,m13,acc1,acc2,acc3,acc4,acc5,acc10,acc11,acc12,acc13,meta_label
2023-08-15 12:00:00+00:00,0.4437940009243456,0.442533894343151,1.0,0.4367032051086426,0.5049194455146789,0.4111880838871002,0.3952926278114319,0.3569585621356964,0.4100468814373016,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
2023-08-15 16:00:00+00:00,0.4675680587894401,0.5143791721920652,1.0,0.5312256336212158,0.5092229247093201,0.5065296530723572,0.4669052481651306,0.4605502188205719,0.4085791647434235,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0
2023-08-16 12:00:00+00:00,0.4891000466838878,0.4894805720134584,1.0,0.4640387594699859,0.5008901417255401,0.4712673842906952,0.4267952144145965,0.4080071836709976,0.3985866785049438,1.0,0.5,0.0,0.5,0.0,0.5,1.0,1.0,1.0,0
2023-08-16 16:00:00+00:00,0.5068227547100786,0.4675763079998463,1.0,0.500146871805191,0.4626372098922729,0.4929409384727478,0.4744623184204101,0.4701395809650421,0.4024519085884094,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0
2023-08-16 20:00:00+00:00,0.4732119732119731,0.4513201492171094,0.9991117508851172,0.5210027754306793,0.5082309365272522,0.3951698482036591,0.4097761482000351,0.3325671494007111,0.4069776058197021,0.75,0.75,0.0,0.5,0.25,0.75,1.0,1.0,0.5,0
2023-08-17 12:00:00+00:00,0.4864320343193582,0.4675763079998463,1.0,0.4799105525016784,0.5075832784175873,0.4707479953765869,0.4680577635765076,0.4350151002407074,0.4134117901325226,0.8,0.8,0.0,0.4,0.2,0.8,1.0,0.8,0.4,0
2023-08-17 16:00:00+00:00,0.4905101002115231,0.5097863387361486,1.0,0.4980777680873871,0.4867448329925537,0.4746180355548858,0.474617725610733,0.5243710219860077,0.4403025090694427,0.8333333333333334,0.8333333333333334,0.0,0.5,0.1666666666666666,0.8333333333333334,1.0,0.6666666666666666,0.3333333333333333,0
2023-08-18 12:00:00+00:00,0.5189759830419673,0.5322098681815147,1.0,0.4993432343006134,0.5068211436271668,0.5310725688934326,0.6196328222751617,0.5444336891174316,0.4964124262332916,0.8571428571428571,0.7142857142857143,0.0,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.2857142857142857,1
2023-08-18 16:00:00+00:00,0.5089759173322317,0.5096687846695575,1.0,0.5501213192939758,0.6174857556819916,0.5371562242507935,0.50798259973526,0.47013840675354,0.467202353477478,0.875,0.75,0.125,0.5,0.375,0.875,0.875,0.75,0.25,1
2023-08-21 12:00:00+00:00,0.4823843296183721,0.6256997468227509,0.8567314260769588,0.4379282355308532,0.4834107577800751,0.4916604220867157,0.4352364003658294,0.4062665462493896,0.434464168548584,0.8888888888888888,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.2222222222222222,1
2023-08-21 16:00:00+00:00,0.4702181920600305,0.4526708634526832,0.8355458647091298,0.4983805119991302,0.5059244215488434,0.4877423405647277,0.4730619728565216,0.434271228313446,0.4258424699306488,0.8,0.8,0.3,0.5,0.4,0.8,0.8,0.6,0.2,1
2023-08-22 12:00:00+00:00,0.4665236514035898,0.4647478300627568,0.7441651580664936,0.5140773296356201,0.4916594743728638,0.5537515580654144,0.5071120321750641,0.4301850020885467,0.4361354231834412,0.7272727272727273,0.7272727272727273,0.3636363636363636,0.4545454545454545,0.4545454545454545,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.1818181818181818,1
2023-08-22 16:00:00+00:00,0.5234056468259972,0.483561952561594,0.2281553725145875,0.5547200679779053,0.4498061597347259,0.5115187585353851,0.4723212957382202,0.441985285282135,0.4393460810184478,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.5,0.4166666666666667,0.75,0.75,0.5833333333333334,0.1666666666666666,1
2023-08-23 12:00:00+00:00,0.421114644712296,0.4668594585737456,0.024899950261192,0.448915421962738,0.545121020078659,0.4598218560218811,0.4750517308712005,0.4425688982009887,0.4617469310760498,0.6923076923076923,0.6153846153846154,0.3846153846153846,0.5384615384615384,0.3846153846153846,0.7692307692307693,0.6923076923076923,0.6153846153846154,0.1538461538461538,0
2023-08-23 16:00:00+00:00,0.4769718640860697,0.4617752354687393,0.0285589164063712,0.4763781130313873,0.4546658158302307,0.4767625272274017,0.4626881659030914,0.4338022887706756,0.4607681453227997,0.7142857142857143,0.6428571428571429,0.4285714285714285,0.5714285714285714,0.3571428571428571,0.7857142857142857,0.7142857142857143,0.6428571428571429,0.1428571428571428,1
2023-08-23 20:00:00+00:00,0.3969288829106285,0.3628425696167631,0.0111693982302642,0.4764878988265991,0.4983009815216064,0.4386161863803863,0.4807852685451507,0.4684920907020569,0.4664882957935333,0.6666666666666666,0.6,0.4,0.5333333333333333,0.3333333333333333,0.7333333333333333,0.7333333333333333,0.6,0.1333333333333333,0
2023-08-24 12:00:00+00:00,0.3168524866127883,0.4496673130790777,0.3150376053909166,0.3452556371688843,0.4811548411846161,0.2063376039266586,0.4638364076614379,0.4816345512866974,0.4544500946998596,0.6875,0.625,0.4375,0.5625,0.375,0.75,0.75,0.625,0.125,0
