timestamp,open,high,low,close,volume,vwap,transactions,sentiment,price_change,high_low_range,log_volume,macd_line,macd_signal,macd_histogram,rsi,momentum,roc,atr,ema_9,ema_21,ema_50,ema_200,adx,obv,bollinger_upper,bollinger_lower,lagged_close_1,lagged_close_2,lagged_close_3,lagged_close_5,lagged_close_10,candle_body_ratio,wick_dominance,gap_vs_prev,volume_zscore,atr_zscore,rsi_zscore,adx_trend,macd_cross,macd_hist_flip,day_of_week,days_since_high,days_since_low
2020-07-27 12:00:00+00:00,174.225,176.225,172.54,175.215,161313,175.20066,633,2.1038544218754396e-05,0.9900000000000091,3.6850000000000023,11.991108055139163,0.0,0.0,0.0,50.0,0.0,0.0,3.6850000000000023,175.215,175.215,175.215,175.215,,0.0,0.0,0.0,175.215,175.215,175.215,175.215,175.215,0.2686567164179128,0.4572591587516964,-0.9900000000000091,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2020-07-27 16:00:00+00:00,175.08,178.415,174.9,177.98,37339,177.162577,370,2.1038544218754396e-05,2.8999999999999773,3.5149999999999864,10.527820417095713,0.22056980056979114,0.04411396011395823,0.1764558404558329,50.0,0.0,0.0,3.6623333333333337,175.768,175.46636363636364,175.323431372549,175.24251243781094,100.0,37339.0,180.50780049996158,172.68719950003842,175.215,175.215,175.215,175.215,175.215,0.8250355618776639,0.1237553342816512,-0.1349999999999909,0.0,0.0,0.0,1,0,0,0,0.0,0.0
2020-07-28 12:00:00+00:00,176.52,179.22,176.18,179.06,93246,178.026766,1016,2.1038544218754396e-05,2.539999999999992,3.039999999999992,11.443007165406776,0.4770211280752221,0.13069539370621103,0.3463257343690111,50.0,0.0,0.0,3.579355555555555,176.42640000000003,175.79305785123967,175.46996347558633,175.28049738867853,100.0,130585.0,181.38449436553225,173.4521723011344,177.98,175.215,175.215,175.215,175.215,0.8355263157894732,0.11184210526315931,-1.4599999999999795,0.0,0.0,0.0,1,0,0,1,0.0,0.0
2020-07-28 16:00:00+00:00,179.035,179.56,176.04,176.22,86838,177.809467,982,2.1038544218754396e-05,-2.8149999999999977,3.5200000000000102,11.371811108495248,0.44595568805155494,0.1937474525752798,0.25220823547627513,92.36976692862005,0.0,0.0,3.5714414814814823,176.38512000000003,175.83187077385423,175.49937667262216,175.2898456733683,100.0,43747.0,180.57171370286937,173.66578629713064,179.06,177.98,175.215,175.215,175.215,-0.7997159090909062,0.14914772727272846,-0.025000000000005684,0.0,0.0,0.0,1,0,0,1,0.0,1.0
2020-07-29 12:00:00+00:00,178.38,182.98,178.3,182.52,165896,180.252938,1705,2.1038544218754396e-05,4.140000000000015,4.679999999999978,12.019122392832394,0.9190986545509645,0.33881769297041675,0.5802809615805478,93.54618390404178,0.0,0.0,3.9965826172839503,177.612096,176.43988252168566,175.77469523448013,175.36178750746413,100.0,209643.0,183.880638848079,172.51736115192102,176.22,179.06,177.98,175.215,175.215,0.8846153846153919,0.09829059829059437,2.1599999999999966,0.0,0.0,0.0,1,0,0,2,0.0,0.0
2020-07-29 16:00:00+00:00,182.26,185.39,181.2,184.57,146800,183.737714,1378,2.1038544218754396e-05,2.3100000000000023,4.189999999999998,11.896833207128452,1.4428534157165984,0.5596248375196531,0.8832285781969453,93.87699935024261,0.0,0.0,4.02237160164609,179.0036768,177.17898411062333,176.1196091468535,175.453411512365,100.0,356443.0,186.53301159480816,171.98865507185855,182.52,176.22,179.06,175.215,175.215,0.5513126491646786,0.2529832935560866,-0.2600000000000193,0.0,0.0,0.0,1,0,0,2,0.0,0.0
2020-07-29 20:00:00+00:00,190.85,192.51,187.99,187.99,450,190.134444,4,2.1038544218754396e-05,-2.859999999999985,4.519999999999982,6.111467339502679,2.109580326422247,0.8696159353001718,1.239964391122075,94.39333349535569,0.0,0.0,4.544722054759944,180.80094144,178.1618037369303,176.5851146705063,175.57815368637134,100.0,356893.0,189.8680064599405,171.1477078257738,184.57,182.52,176.22,177.98,175.215,-0.6327433628318577,0.36725663716814233,6.280000000000001,0.0,0.0,0.0,1,0,0,2,0.0,0.0
2020-07-30 12:00:00+00:00,191.71,198.59,189.225,192.33,364129,192.837376,3417,2.1038544218754396e-05,0.6200000000000045,9.365000000000009,12.805266225715691,2.9541147399218346,1.2865156962245043,1.6675990436973303,94.97269553334957,0.0,0.0,5.3520924474586185,183.106753152,179.44982157902754,177.20256115401585,175.7448387243179,100.0,721022.0,194.02630063066366,169.94494936933634,187.99,184.57,182.52,179.06,175.215,0.0662039508809401,0.668446342765615,3.719999999999999,0.0,0.0,0.0,1,0,0,3,0.0,0.0
2020-07-30 16:00:00+00:00,192.37,193.925,191.445,192.58,109905,192.488372,1512,2.1038544218754396e-05,0.21000000000000796,2.480000000000018,11.607380733987897,3.602064895912463,1.749625536162096,1.8524393597503668,95.00471693783032,0.0,0.0,4.969146787797472,185.00140252160003,180.6434741627523,177.80559797150545,175.91235276686203,100.0,830927.0,196.4571535727438,169.86840198281178,192.33,187.99,184.57,176.22,175.215,0.0846774193548413,0.5423387096774149,0.03999999999999204,0.0,0.0,0.0,1,0,0,3,1.0,0.0
2020-07-31 12:00:00+00:00,193.14,195.705,191.69,194.68,86158,193.86819,792,2.1038544218754396e-05,1.5400000000000205,4.015000000000015,11.363949705449082,4.236190346948831,2.246938498319443,1.989251848629388,95.2768616053615,0.0,0.0,4.841927216091145,186.93712201728005,181.91952196613846,178.46733922752483,176.09909552540074,100.0,917085.0,198.81143641965627,169.81756358034374,192.58,192.33,187.99,182.52,175.215,0.38356164383562014,0.3611457036114529,0.5599999999999739,-0.3948011454056199,0.946792737790226,0.6707015489774794,1,0,0,4,2.0,0.0
2020-07-31 16:00:00+00:00,194.89,196.3,191.96,196.16,135210,194.333996,1476,2.1038544218754396e-05,1.2700000000000102,4.340000000000003,11.814591800228124,4.802799286114663,2.758110655878487,2.044688630236176,95.46440472021149,0.0,0.0,4.775003587278992,188.78169761382404,183.2141108783077,179.16116906173954,176.29870651519775,100.0,1052295.0,200.88875057152734,169.89397670119996,194.68,192.58,192.33,184.57,175.215,0.2926267281106012,0.6751152073732664,0.20999999999997954,0.09685873526395003,0.7815933072035743,0.6364488542995792,1,0,0,4,3.0,0.0
2020-08-03 12:00:00+00:00,198.16,199.35,195.455,197.97,135919,197.424448,1192,2.1038544218754396e-05,-0.18999999999999773,3.894999999999982,11.819821756345814,5.3363783776421485,3.273764200231219,2.0626141774109295,95.68981213411645,0.0,0.0,4.657669775641791,190.61935809105924,184.5555553439161,179.89877027500467,176.51434127624057,100.0,1188214.0,202.90397381059907,169.9751928560676,196.16,194.68,192.58,187.99,177.98,-0.04878048780487769,0.6456996148908852,2.0,0.10033125635229997,0.5666501878391297,0.6107172835917245,1,0,0,0,0.0,0.0
2020-08-03 16:00:00+00:00,198.005,198.005,195.6,196.94,329036,196.762252,2228,2.1038544218754396e-05,-1.0649999999999977,2.405000000000001,12.703925485430211,5.611446003452642,3.741300560875504,1.8701454425771376,92.86159105142512,0.0,0.0,4.3573138055562195,191.8834864728474,185.68141394901463,180.56705379363194,176.7175816615516,100.0,859178.0,204.05243320774923,170.4421821768662,197.97,196.16,194.68,192.33,179.06,-0.4428274428274417,0.5571725571725583,0.03499999999999659,1.8211108637409508,0.08127359295102445,0.44934202118294114,1,0,0,0,1.0,0.0
2020-08-04 12:00:00+00:00,196.89,198.82,196.265,197.35,52514,197.617197,545,2.1038544218754396e-05,0.46000000000000796,2.555000000000007,10.868854122056876,5.795713277196455,4.152183104139695,1.6435301730567602,92.95090358705721,0.0,0.0,4.117005298148724,192.97678917827793,186.7421944991042,181.22520854682287,176.92287935646155,100.0,911692.0,204.99389493469428,170.94396220816284,196.94,197.97,196.16,192.58,176.22,0.18003913894325116,0.5753424657534226,-0.05000000000001137,-0.8245435426843201,-0.30964849967685876,0.4352603227647595,1,0,0,1,2.0,0.0
2020-08-04 16:00:00+00:00,197.39,197.65,195.55,197.31,69355,196.793555,680,2.1038544218754396e-05,-0.07999999999998408,2.0999999999999943,11.147007939664563,5.870843326116017,4.4959151485349595,1.3749281775810571,92.82887687517216,22.095,12.610221727591814,3.8480712583955605,193.84343134262235,187.7029040900947,181.8559846822416,177.12573627828783,99.65162736308712,842337.0,205.69178682775936,171.49154650557398,197.35,196.94,197.97,194.68,182.52,-0.03809523809523062,0.838095238095236,0.03999999999999204,-0.6279336142123467,-0.7368962640625338,0.412596120552225,1,0,0,1,3.0,1.0
2020-08-05 12:00:00+00:00,198.67,203.45,198.65,203.265,107571,201.575901,1234,2.1038544218754396e-05,4.594999999999999,4.799999999999983,11.585915669797602,6.337844437649949,4.864301006357957,1.4735434312919917,94.07579474261091,25.284999999999997,14.206652432857622,4.153661757276151,195.7277450740979,189.11764008190426,182.69555391038898,177.3858284546233,99.34144559223121,949908.0,207.58488103884048,171.4326189611595,197.31,197.35,196.94,196.16,184.57,0.9572916666666699,0.03854166666666728,1.3599999999999852,-0.23481435165749764,-0.1911327571489455,0.46297244707301405,1,0,0,2,0.0,0.0
2020-08-05 16:00:00+00:00,203.225,204.195,201.835,202.87,89012,203.351571,967,2.1038544218754396e-05,-0.35499999999998977,2.359999999999985,11.396537705463201,6.599992380445514,5.211439281175469,1.3885530992700446,92.92163079228109,23.810000000000002,13.297218809337652,3.9145068563059957,197.15619605927833,190.36785461991295,183.48670865900118,177.63940230084597,99.03069762404485,860896.0,208.95831401107105,171.63109775363486,203.265,197.31,197.35,197.97,187.99,-0.15042372881355592,0.4385593220338996,-0.03999999999999204,-0.41386255094644314,-0.6027837371350656,0.38511266582171133,1,0,0,2,0.0,0.0
2020-08-06 12:00:00+00:00,202.68,202.68,199.0,200.015,60564,200.7087,597,2.1038544218754396e-05,-2.6650000000000205,3.680000000000007,11.011472447450902,6.502416069183369,5.469634638777049,1.0327814304063194,84.82154721870987,23.794999999999987,13.503007604131193,3.90857260879853,197.72795684742266,191.2448678362845,184.13487694688348,177.86204506402163,97.5966728618708,800332.0,209.51189339996256,172.15755104448192,202.87,203.265,197.31,196.94,192.33,-0.7241847826086999,0.2758152173913001,-0.18999999999999773,-0.6888432268170537,-0.5910403980346318,-0.08018973461162404,1,0,0,3,1.0,1.0
2020-08-06 16:00:00+00:00,199.99,204.125,199.96,204.07,91089,202.294571,1055,2.1038544218754396e-05,4.079999999999984,4.164999999999992,11.419603307738855,6.67534156811837,5.710776024645313,0.9645655434730562,86.60725977000895,21.549999999999983,11.806925268463718,3.9427629276253917,198.99636547793813,192.41078894207683,184.91664647837825,178.1228207350264,96.07782632954718,891421.0,210.6712045741573,172.39142700479005,200.015,202.87,203.265,197.35,192.58,0.979591836734692,0.013205282112846802,-0.024999999999977263,-0.34694059640821534,-0.5089646039028967,0.025368900886555888,1,0,0,3,2.0,2.0
